client_id	path	sentence	split
976b1	000039928e.mp3	এ ধরণের কার্ড নিয়ে	-1.0217115211182235
f83df	00005debc7.mp3	হতে উপার্জিত অর্থ	0.31965852028347114
9813c	00009e687c.mp3	হাসির বিষয় হয়েই আছে	0.6899918205634027
e43d4	00012880b1.mp3	সহজেই যাওয়া যায়	0.7483664916757761
321b6	0001e9f600.mp3	সুরকার হিসেবে	0.6538699558923241
a46e2	0001ee459b.mp3	যাতে বিবাহ শাদী দিলে	-0.12366340960235948
e00db	0001fd54d9.mp3	আপনার গল্প ছাড়া	0.9595852187132502
2ecf8	0002a04050.mp3	বীরভূম জেলা হাসপাতালে	0.8379892541487324
577fa	0002f5e8b7.mp3	পুলিশের সন্দেহ	0.3123903671601934
15a75	00030c9001.mp3	বাঙালি মধ্যবিত্তের ধর্ম	1.3100843122711707
4c555	000339782d.mp3	কোন অতিবৃষ্টি অরণ্যেই	-0.7836325006956376
ee4ad	0004bc46f7.mp3	রয়েছেন মুখ্যমন্ত্রী	-1.8274966950022098
ac904	000549887f.mp3	তাদের হুমকি দেয়া হয়েছিল	0.9403954448677925
7297e	000571e8eb.mp3	বিশেষ ছাড়ের ব্যবস্থা করা	0.2116875905277415
aa820	0005c0cb27.mp3	অসাধারণ অভিনয় করেন ছবি বিশ্বাস	0.7385266394631667
3fce2	0005c694a1.mp3	দুপুরের রোদে	0.9966949211823084
6.5E+31	00067a3bf3.mp3	আরেকটি বড় ধরনের	0.08421974101056785
7d3e1	0007ec5c58.mp3	তখন থেকেই ডাকটিকিট সংগ্রহ	0.5587510926486041
7aed9	00081f7414.mp3	শক্তি চট্টোপাধ্যায়	1.0728252407407788
18a52	00090d52b7.mp3	মনোনয়ন বাতিলের ক্ষমতাও	0.6154114880069356
3f875	00092bb274.mp3	ঘানিটা ঘুরছে	-0.5003001260694838
3f493	000970168f.mp3	বিকশিত করতে চাই	0.6386815088607725
717bb	00098b3964.mp3	পুরুষের তৈরি করা	0.05841485920284541
590d0	00099c95d0.mp3	ষড়যন্ত্র করবে	0.4437255938624349
5639c	0009a72716.mp3	এই মার্কিনি বাবুর্চি	-0.7361141698301771
c4973	0009d560fe.mp3	টেবিলের ওপর	-0.8185447913634992
28bb3	000a4567b4.mp3	লকার্নো আন্তর্জাতিক চলচ্চিত্র উৎসবে	0.7588497322395006
66dcd	000a50081a.mp3	সব কিছুই ঘটে চলেছে	-0.4397737608128486
767ff	000ae4299c.mp3	জোড়ালো করতেই ওবামা	1.0327408065852839
4bede	000af00d30.mp3	শুল্ক বিভাগের কর্মকর্তারা	-0.14336592155175362
6dff5	000c03fe83.mp3	নাচতে হয়	0.9596891412225487
880ae	000c053da3.mp3	বিবাহ করিলেন	-0.7896136431024585
1.6E+97	000c77a792.mp3	কিন্তু কৃষ্ণ রথের উপর	0.004751125196987296
f9dfb	000d7874ee.mp3	বা অ্যালার্জির বংশগত রোগ যুক্ত	1.8601295256204424
e9fa7	000f852677.mp3	মনোযোগ দিয়েছে	0.9548942728375734
c463d	001050deb2.mp3	পাকিস্তানের ৫৪-সদস্যের দল	1.16484069950602
0c39f	00110b32d4.mp3	এই দ্বিগুণ দাম	-0.5385060046992458
b8ed8	00112a63e8.mp3	প্রায়ই ‘এককাট্টা শ্রেণী’ হিসেবে নিয়েছেন	0.40901812525320247
ef4f8	00113d863f.mp3	কষ্টের কথা	0.12435559686468128
f1240	0011dc9c2f.mp3	টেলিফিল্ম, নাটক ও চলচ্চিত্রে	-1.1194498268744293
42898	00122e09b7.mp3	সবচেয়ে দামী খাবারটি	-0.0714799525320901
11915	0012321d7b.mp3	প্রিয় শাবিপ্রবির উদ্দেশে	-0.5337521915377761
e8dde	00128c7353.mp3	অথচ কোনো খবর নেই	1.0260865080518173
75f18	00133b44f7.mp3	শিগগিরই একটা ভালো	-0.4198550004932073
8458	0013a12315.mp3	লেবাননের সীমান্তে	0.920194509371753
d3e06	0013c091de.mp3	উদাহরণস্বরূপ বলা	1.502731076430357
1279e	001415e92d.mp3	সাজানোর জন্য	1.2579818505794367
2fc12	0014eb81c0.mp3	মনিরুজ্জামান চৌধুরীর হাতে	-1.0446956823667641
e7230	00150297ca.mp3	মুশকিল আসানকারীদের প্রচারপত্রে	-0.09084425561406731
323f1	001528b596.mp3	নিজেও আত্মহত্যা করেন	0.48666565511278387
18460	0015b27f63.mp3	৬০০ থেকে ৮০০ মেগাওয়াট	0.00518028626772919
cb627	0015eb3a5f.mp3	তাঁর এই স্বীকারোক্তি	-0.38506352340372907
b618b	00165b8335.mp3	যেসব খাবার খাওয়া হচ্ছে	0.348365876907002
5dec6	0016782bd0.mp3	বাংলা উইকিপিডিয়া	0.4811278572184224
d2355	0016f4aa06.mp3	কারণ রাজের জন্যই তো	0.3912152034703066
239f7	0016fc111c.mp3	মামলা নিষ্পত্তি করতে হবে	-0.5661736528213328
967fd	00171dce25.mp3	আকাশের বুকে এক জ্বলন্ত অগ্নিকুণ্ড	1.1066536625202814
ef915	00180e5568.mp3	বাংলাদেশের পুলিশ বিভাগে কর্মরত	-0.18419154923848471
7351e	00185f8299.mp3	শেষ হওয়ার কথা ছিল	1.1684224763080842
23291	0018e80698.mp3	ওদের সঙ্গে চলে না	-0.7763023978314106
3fb17	001992bbc9.mp3	প্রতিরোধের আভাস থাকলেও	0.09024483974575255
