client_id	path	sentence	split
976b1	000039928e.mp3	এ ধরণের কার্ড নিয়ে	1.773864800809083
f83df	00005debc7.mp3	হতে উপার্জিত অর্থ	-0.2563869052473648
9813c	00009e687c.mp3	হাসির বিষয় হয়েই আছে	0.9339307965902665
7ec1c	00012843bc.mp3	সার্ক দেশগুলোতে	-1.2008837063920514
e43d4	00012880b1.mp3	সহজেই যাওয়া যায়	-0.30352425026360447
321b6	0001e9f600.mp3	সুরকার হিসেবে	1.4464667724202516
a46e2	0001ee459b.mp3	যাতে বিবাহ শাদী দিলে	1.4030396126677414
e00db	0001fd54d9.mp3	আপনার গল্প ছাড়া	-0.8766767461196892
4c555	0002656955.mp3	বিবাহ ব্যাপারটাকে নিয়ন্ত্রিত করাই	-0.09502139324185294
2ecf8	0002a04050.mp3	বীরভূম জেলা হাসপাতালে	0.10532820747819624
778c0	0002c06046.mp3	মান্নান সৈয়দের মৃত্যুর পর বেরিয়েছে	-0.4732972344283461
577fa	0002f5e8b7.mp3	পুলিশের সন্দেহ	-0.483989373125563
15a75	00030c9001.mp3	বাঙালি মধ্যবিত্তের ধর্ম	0.7319308965642293
ee4ad	0004bc46f7.mp3	রয়েছেন মুখ্যমন্ত্রী	0.2266249310916411
ac904	000549887f.mp3	তাদের হুমকি দেয়া হয়েছিল	-1.5809543363377172
7297e	000571e8eb.mp3	বিশেষ ছাড়ের ব্যবস্থা করা	-0.1801952760319845
3fce2	0005c694a1.mp3	দুপুরের রোদে	-0.13815088622827038
8a46d	000633820e.mp3	অতঃপর ১৯৬০ সালের ২৬শে জুলাই	-0.8131727955324292
65e30	00067a3bf3.mp3	আরেকটি বড় ধরনের	-0.567459394973852
7d3e1	0007ec5c58.mp3	তখন থেকেই ডাকটিকিট সংগ্রহ	0.14696412933162287
18a52	00090d52b7.mp3	মনোনয়ন বাতিলের ক্ষমতাও	0.2359198346227685
355c1	00090e7ccd.mp3	শিরোনাম আমার ছবি	1.0608345488030266
3f875	00092bb274.mp3	ঘানিটা ঘুরছে	1.7935289610619636
3f493	000970168f.mp3	বিকশিত করতে চাই	1.507904605436586
